topology,mixing_strategy,num_nodes,seed,k_target,node_id,total_samples,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,class_8_count,class_9_count
ER,metropolis_hastings,30,42,4,0,1230,67,52,89,208,13,12,351,252,19,167
ER,metropolis_hastings,30,42,4,1,1701,34,310,74,77,53,41,704,165,160,83
ER,metropolis_hastings,30,42,4,2,1335,195,233,89,13,17,210,327,29,84,138
ER,metropolis_hastings,30,42,4,3,1889,21,73,56,189,292,906,220,34,92,6
ER,metropolis_hastings,30,42,4,4,1085,70,250,35,87,297,5,46,18,151,126
ER,metropolis_hastings,30,42,4,5,1452,112,72,179,36,242,310,69,59,316,57
ER,metropolis_hastings,30,42,4,6,1322,774,40,98,112,48,33,68,42,79,28
ER,metropolis_hastings,30,42,4,7,2729,404,242,630,83,12,119,89,303,251,596
ER,metropolis_hastings,30,42,4,8,1254,15,27,276,208,21,30,11,98,244,324
ER,metropolis_hastings,30,42,4,9,2129,215,187,167,154,186,420,183,102,22,493
ER,metropolis_hastings,30,42,4,10,1464,27,324,377,152,112,146,59,104,71,92
ER,metropolis_hastings,30,42,4,11,1181,151,11,154,6,247,17,251,119,157,68
ER,metropolis_hastings,30,42,4,12,2318,93,171,307,189,251,78,837,64,87,241
ER,metropolis_hastings,30,42,4,13,3216,95,107,448,116,646,521,361,423,425,74
ER,metropolis_hastings,30,42,4,14,2995,337,378,3,82,199,758,408,31,401,398
ER,metropolis_hastings,30,42,4,15,2888,994,192,15,486,292,55,223,3,76,552
ER,metropolis_hastings,30,42,4,16,1383,89,135,297,181,3,74,367,89,32,116
ER,metropolis_hastings,30,42,4,17,2068,2,242,459,558,88,121,21,117,88,372
ER,metropolis_hastings,30,42,4,18,2826,48,192,2,693,72,226,3,379,866,345
ER,metropolis_hastings,30,42,4,19,4077,820,63,496,130,79,142,122,1088,359,778
ER,metropolis_hastings,30,42,4,20,2262,25,73,240,54,569,114,271,598,153,165
ER,metropolis_hastings,30,42,4,21,1436,189,297,504,10,48,32,3,87,184,82
ER,metropolis_hastings,30,42,4,22,1718,102,100,146,474,82,312,184,236,71,11
ER,metropolis_hastings,30,42,4,23,1844,29,424,327,139,228,218,115,262,89,13
ER,metropolis_hastings,30,42,4,24,2291,142,179,115,389,386,550,253,227,14,36
ER,metropolis_hastings,30,42,4,25,2242,160,1009,169,48,378,12,48,68,342,8
ER,metropolis_hastings,30,42,4,26,2998,222,119,36,443,852,225,115,360,578,48
ER,metropolis_hastings,30,42,4,27,1140,364,27,100,72,66,33,183,102,68,125
ER,metropolis_hastings,30,42,4,28,1759,148,203,66,267,143,206,101,172,161,292
ER,metropolis_hastings,30,42,4,29,1768,56,268,46,344,78,74,7,369,360,166
WS,metropolis_hastings,30,42,4,0,1230,67,52,89,208,13,12,351,252,19,167
WS,metropolis_hastings,30,42,4,1,1701,34,310,74,77,53,41,704,165,160,83
WS,metropolis_hastings,30,42,4,2,1335,195,233,89,13,17,210,327,29,84,138
WS,metropolis_hastings,30,42,4,3,1889,21,73,56,189,292,906,220,34,92,6
WS,metropolis_hastings,30,42,4,4,1085,70,250,35,87,297,5,46,18,151,126
WS,metropolis_hastings,30,42,4,5,1452,112,72,179,36,242,310,69,59,316,57
WS,metropolis_hastings,30,42,4,6,1322,774,40,98,112,48,33,68,42,79,28
WS,metropolis_hastings,30,42,4,7,2729,404,242,630,83,12,119,89,303,251,596
WS,metropolis_hastings,30,42,4,8,1254,15,27,276,208,21,30,11,98,244,324
WS,metropolis_hastings,30,42,4,9,2129,215,187,167,154,186,420,183,102,22,493
WS,metropolis_hastings,30,42,4,10,1464,27,324,377,152,112,146,59,104,71,92
WS,metropolis_hastings,30,42,4,11,1181,151,11,154,6,247,17,251,119,157,68
WS,metropolis_hastings,30,42,4,12,2318,93,171,307,189,251,78,837,64,87,241
WS,metropolis_hastings,30,42,4,13,3216,95,107,448,116,646,521,361,423,425,74
WS,metropolis_hastings,30,42,4,14,2995,337,378,3,82,199,758,408,31,401,398
WS,metropolis_hastings,30,42,4,15,2888,994,192,15,486,292,55,223,3,76,552
WS,metropolis_hastings,30,42,4,16,1383,89,135,297,181,3,74,367,89,32,116
WS,metropolis_hastings,30,42,4,17,2068,2,242,459,558,88,121,21,117,88,372
WS,metropolis_hastings,30,42,4,18,2826,48,192,2,693,72,226,3,379,866,345
WS,metropolis_hastings,30,42,4,19,4077,820,63,496,130,79,142,122,1088,359,778
WS,metropolis_hastings,30,42,4,20,2262,25,73,240,54,569,114,271,598,153,165
WS,metropolis_hastings,30,42,4,21,1436,189,297,504,10,48,32,3,87,184,82
WS,metropolis_hastings,30,42,4,22,1718,102,100,146,474,82,312,184,236,71,11
WS,metropolis_hastings,30,42,4,23,1844,29,424,327,139,228,218,115,262,89,13
WS,metropolis_hastings,30,42,4,24,2291,142,179,115,389,386,550,253,227,14,36
WS,metropolis_hastings,30,42,4,25,2242,160,1009,169,48,378,12,48,68,342,8
WS,metropolis_hastings,30,42,4,26,2998,222,119,36,443,852,225,115,360,578,48
WS,metropolis_hastings,30,42,4,27,1140,364,27,100,72,66,33,183,102,68,125
WS,metropolis_hastings,30,42,4,28,1759,148,203,66,267,143,206,101,172,161,292
WS,metropolis_hastings,30,42,4,29,1768,56,268,46,344,78,74,7,369,360,166
BA,metropolis_hastings,30,42,4,0,1230,67,52,89,208,13,12,351,252,19,167
BA,metropolis_hastings,30,42,4,1,1701,34,310,74,77,53,41,704,165,160,83
BA,metropolis_hastings,30,42,4,2,1335,195,233,89,13,17,210,327,29,84,138
BA,metropolis_hastings,30,42,4,3,1889,21,73,56,189,292,906,220,34,92,6
BA,metropolis_hastings,30,42,4,4,1085,70,250,35,87,297,5,46,18,151,126
BA,metropolis_hastings,30,42,4,5,1452,112,72,179,36,242,310,69,59,316,57
BA,metropolis_hastings,30,42,4,6,1322,774,40,98,112,48,33,68,42,79,28
BA,metropolis_hastings,30,42,4,7,2729,404,242,630,83,12,119,89,303,251,596
BA,metropolis_hastings,30,42,4,8,1254,15,27,276,208,21,30,11,98,244,324
BA,metropolis_hastings,30,42,4,9,2129,215,187,167,154,186,420,183,102,22,493
BA,metropolis_hastings,30,42,4,10,1464,27,324,377,152,112,146,59,104,71,92
BA,metropolis_hastings,30,42,4,11,1181,151,11,154,6,247,17,251,119,157,68
BA,metropolis_hastings,30,42,4,12,2318,93,171,307,189,251,78,837,64,87,241
BA,metropolis_hastings,30,42,4,13,3216,95,107,448,116,646,521,361,423,425,74
BA,metropolis_hastings,30,42,4,14,2995,337,378,3,82,199,758,408,31,401,398
BA,metropolis_hastings,30,42,4,15,2888,994,192,15,486,292,55,223,3,76,552
BA,metropolis_hastings,30,42,4,16,1383,89,135,297,181,3,74,367,89,32,116
BA,metropolis_hastings,30,42,4,17,2068,2,242,459,558,88,121,21,117,88,372
BA,metropolis_hastings,30,42,4,18,2826,48,192,2,693,72,226,3,379,866,345
BA,metropolis_hastings,30,42,4,19,4077,820,63,496,130,79,142,122,1088,359,778
BA,metropolis_hastings,30,42,4,20,2262,25,73,240,54,569,114,271,598,153,165
BA,metropolis_hastings,30,42,4,21,1436,189,297,504,10,48,32,3,87,184,82
BA,metropolis_hastings,30,42,4,22,1718,102,100,146,474,82,312,184,236,71,11
BA,metropolis_hastings,30,42,4,23,1844,29,424,327,139,228,218,115,262,89,13
BA,metropolis_hastings,30,42,4,24,2291,142,179,115,389,386,550,253,227,14,36
BA,metropolis_hastings,30,42,4,25,2242,160,1009,169,48,378,12,48,68,342,8
BA,metropolis_hastings,30,42,4,26,2998,222,119,36,443,852,225,115,360,578,48
BA,metropolis_hastings,30,42,4,27,1140,364,27,100,72,66,33,183,102,68,125
BA,metropolis_hastings,30,42,4,28,1759,148,203,66,267,143,206,101,172,161,292
BA,metropolis_hastings,30,42,4,29,1768,56,268,46,344,78,74,7,369,360,166
