topology,mixing_strategy,num_nodes,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
ER,metropolis_hastings,30,42,4,0,1,0.0,4.0,68.48,-7.1766666666666765
ER,metropolis_hastings,30,42,4,1,2,0.0,3.5,75.74,0.08333333333331439
ER,metropolis_hastings,30,42,4,2,2,1.0,4.5,73.28,-2.3766666666666794
ER,metropolis_hastings,30,42,4,3,5,0.3,6.0,77.33,1.6733333333333178
ER,metropolis_hastings,30,42,4,4,4,0.16666666666666666,5.0,76.93,1.2733333333333263
ER,metropolis_hastings,30,42,4,5,4,0.0,3.0,76.94,1.2833333333333172
ER,metropolis_hastings,30,42,4,6,5,0.2,4.8,78.08,2.423333333333318
ER,metropolis_hastings,30,42,4,7,3,0.0,3.6666666666666665,72.86,-2.796666666666681
ER,metropolis_hastings,30,42,4,8,5,0.2,4.6,76.75,1.0933333333333195
ER,metropolis_hastings,30,42,4,9,6,0.26666666666666666,5.166666666666667,76.48,0.8233333333333235
ER,metropolis_hastings,30,42,4,10,3,0.3333333333333333,3.3333333333333335,75.97,0.31333333333331836
ER,metropolis_hastings,30,42,4,11,2,0.0,6.0,73.04,-2.6166666666666742
ER,metropolis_hastings,30,42,4,12,4,0.16666666666666666,4.5,76.94,1.2833333333333172
ER,metropolis_hastings,30,42,4,13,4,0.0,5.0,77.97,2.3133333333333184
ER,metropolis_hastings,30,42,4,14,8,0.10714285714285714,4.625,77.84,2.183333333333323
ER,metropolis_hastings,30,42,4,15,2,0.0,4.0,74.12,-1.536666666666676
ER,metropolis_hastings,30,42,4,16,6,0.06666666666666667,3.5,77.86,2.203333333333319
ER,metropolis_hastings,30,42,4,17,2,0.0,7.0,71.96,-3.6966666666666868
ER,metropolis_hastings,30,42,4,18,3,0.3333333333333333,6.0,74.76,-0.8966666666666754
ER,metropolis_hastings,30,42,4,19,3,0.6666666666666666,4.0,74.45,-1.2066666666666777
ER,metropolis_hastings,30,42,4,20,8,0.07142857142857142,4.125,78.42,2.763333333333321
ER,metropolis_hastings,30,42,4,21,3,0.0,4.666666666666667,74.2,-1.4566666666666777
ER,metropolis_hastings,30,42,4,22,3,0.6666666666666666,4.0,75.02,-0.6366666666666845
ER,metropolis_hastings,30,42,4,23,4,0.0,4.25,78.55,2.8933333333333167
ER,metropolis_hastings,30,42,4,24,2,0.0,5.0,75.83,0.1733333333333178
ER,metropolis_hastings,30,42,4,25,3,0.3333333333333333,6.333333333333333,76.08,0.4233333333333178
ER,metropolis_hastings,30,42,4,26,6,0.13333333333333333,4.166666666666667,77.0,1.3433333333333195
ER,metropolis_hastings,30,42,4,27,4,0.0,4.25,77.8,2.1433333333333167
ER,metropolis_hastings,30,42,4,28,4,0.16666666666666666,3.75,75.23,-0.4266666666666765
ER,metropolis_hastings,30,42,4,29,3,0.0,5.666666666666667,73.79,-1.8666666666666742
WS,metropolis_hastings,30,42,4,0,4,0.16666666666666666,3.75,74.18,-1.866333333333344
WS,metropolis_hastings,30,42,4,1,4,0.16666666666666666,4.75,72.68,-3.366333333333344
WS,metropolis_hastings,30,42,4,2,5,0.2,3.8,75.49,-0.556333333333356
WS,metropolis_hastings,30,42,4,3,3,0.3333333333333333,4.333333333333333,75.54,-0.5063333333333446
WS,metropolis_hastings,30,42,4,4,4,0.16666666666666666,4.5,78.07,2.0236666666666423
WS,metropolis_hastings,30,42,4,5,3,0.6666666666666666,4.333333333333333,76.53,0.48366666666665026
WS,metropolis_hastings,30,42,4,6,5,0.2,3.6,76.85,0.8036666666666434
WS,metropolis_hastings,30,42,4,7,4,0.3333333333333333,3.75,73.9,-2.146333333333345
WS,metropolis_hastings,30,42,4,8,3,0.6666666666666666,4.333333333333333,71.46,-4.586333333333357
WS,metropolis_hastings,30,42,4,9,4,0.5,4.25,74.52,-1.5263333333333549
WS,metropolis_hastings,30,42,4,10,5,0.3,4.0,78.37,2.3236666666666537
WS,metropolis_hastings,30,42,4,11,5,0.3,4.2,76.55,0.5036666666666463
WS,metropolis_hastings,30,42,4,12,4,0.5,4.5,75.66,-0.3863333333333543
WS,metropolis_hastings,30,42,4,13,4,0.3333333333333333,4.0,76.61,0.5636666666666486
WS,metropolis_hastings,30,42,4,14,4,0.3333333333333333,4.75,75.56,-0.4863333333333486
WS,metropolis_hastings,30,42,4,15,2,0.0,4.5,75.29,-0.7563333333333446
WS,metropolis_hastings,30,42,4,16,6,0.13333333333333333,3.8333333333333335,78.15,2.103666666666655
WS,metropolis_hastings,30,42,4,17,3,0.0,3.3333333333333335,76.75,0.7036666666666491
WS,metropolis_hastings,30,42,4,18,4,0.16666666666666666,3.75,76.66,0.6136666666666457
WS,metropolis_hastings,30,42,4,19,3,0.0,4.333333333333333,75.82,-0.2263333333333577
WS,metropolis_hastings,30,42,4,20,4,0.3333333333333333,4.75,76.54,0.4936666666666554
WS,metropolis_hastings,30,42,4,21,4,0.5,4.75,74.55,-1.4963333333333537
WS,metropolis_hastings,30,42,4,22,5,0.5,4.0,77.05,1.0036666666666463
WS,metropolis_hastings,30,42,4,23,4,0.6666666666666666,4.25,76.02,-0.026333333333354858
WS,metropolis_hastings,30,42,4,24,4,0.6666666666666666,4.25,76.52,0.47366666666664514
WS,metropolis_hastings,30,42,4,25,4,0.6666666666666666,4.25,76.72,0.673666666666648
WS,metropolis_hastings,30,42,4,26,4,0.16666666666666666,4.75,78.03,1.9836666666666503
WS,metropolis_hastings,30,42,4,27,4,0.16666666666666666,3.5,77.69,1.6436666666666468
