topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,uniform,30,42,4,1,0,21.32,4
ER,uniform,30,42,4,1,1,28.83,3
ER,uniform,30,42,4,1,2,20.89,4
ER,uniform,30,42,4,1,3,32.21,3
ER,uniform,30,42,4,1,4,22.84,4
ER,uniform,30,42,4,1,5,15.42,4
ER,uniform,30,42,4,1,6,25.55,3
ER,uniform,30,42,4,1,7,24.11,1
ER,uniform,30,42,4,1,8,32.57,7
ER,uniform,30,42,4,1,9,28.19,4
ER,uniform,30,42,4,1,10,10.33,2
ER,uniform,30,42,4,1,11,26.76,4
ER,uniform,30,42,4,1,12,24.24,3
ER,uniform,30,42,4,1,13,22.36,2
ER,uniform,30,42,4,1,14,26.7,3
ER,uniform,30,42,4,1,15,21.97,4
ER,uniform,30,42,4,1,16,31.08,4
ER,uniform,30,42,4,1,17,25.95,3
ER,uniform,30,42,4,1,18,35.23,7
ER,uniform,30,42,4,1,19,21.65,1
ER,uniform,30,42,4,1,20,18.56,4
ER,uniform,30,42,4,1,21,19.6,3
ER,uniform,30,42,4,1,22,11.83,4
ER,uniform,30,42,4,1,23,24.71,2
ER,uniform,30,42,4,1,24,20.58,2
ER,uniform,30,42,4,1,25,29.21,5
ER,uniform,30,42,4,1,26,28.51,5
ER,uniform,30,42,4,1,27,10.02,3
ER,uniform,30,42,4,1,28,23.7,1
ER,uniform,30,42,4,1,29,19.21,3
ER,uniform,30,42,4,2,0,30.13,4
ER,uniform,30,42,4,2,1,30.83,3
ER,uniform,30,42,4,2,2,26.49,4
ER,uniform,30,42,4,2,3,28.94,3
ER,uniform,30,42,4,2,4,36.44,4
ER,uniform,30,42,4,2,5,22.51,4
ER,uniform,30,42,4,2,6,30.62,3
ER,uniform,30,42,4,2,7,26.64,1
ER,uniform,30,42,4,2,8,40.42,7
ER,uniform,30,42,4,2,9,31.98,4
ER,uniform,30,42,4,2,10,20.87,2
ER,uniform,30,42,4,2,11,25.59,4
ER,uniform,30,42,4,2,12,29.2,3
ER,uniform,30,42,4,2,13,17.56,2
ER,uniform,30,42,4,2,14,35.6,3
ER,uniform,30,42,4,2,15,39.6,4
ER,uniform,30,42,4,2,16,36.97,4
ER,uniform,30,42,4,2,17,38.73,3
ER,uniform,30,42,4,2,18,35.43,7
ER,uniform,30,42,4,2,19,18.65,1
ER,uniform,30,42,4,2,20,25.38,4
ER,uniform,30,42,4,2,21,29.79,3
ER,uniform,30,42,4,2,22,29.45,4
ER,uniform,30,42,4,2,23,25.58,2
ER,uniform,30,42,4,2,24,28.58,2
ER,uniform,30,42,4,2,25,37.79,5
ER,uniform,30,42,4,2,26,33.33,5
ER,uniform,30,42,4,2,27,11.82,3
ER,uniform,30,42,4,2,28,35.97,1
ER,uniform,30,42,4,2,29,23.99,3
ER,uniform,30,42,4,3,0,35.79,4
ER,uniform,30,42,4,3,1,33.52,3
ER,uniform,30,42,4,3,2,33.25,4
ER,uniform,30,42,4,3,3,36.1,3
ER,uniform,30,42,4,3,4,36.43,4
ER,uniform,30,42,4,3,5,30.32,4
ER,uniform,30,42,4,3,6,40.65,3
ER,uniform,30,42,4,3,7,31.24,1
ER,uniform,30,42,4,3,8,44.87,7
ER,uniform,30,42,4,3,9,30.84,4
ER,uniform,30,42,4,3,10,27.5,2
ER,uniform,30,42,4,3,11,34.84,4
ER,uniform,30,42,4,3,12,37.34,3
ER,uniform,30,42,4,3,13,22.77,2
ER,uniform,30,42,4,3,14,38.1,3
ER,uniform,30,42,4,3,15,43.43,4
ER,uniform,30,42,4,3,16,39.31,4
ER,uniform,30,42,4,3,17,42.66,3
ER,uniform,30,42,4,3,18,36.32,7
ER,uniform,30,42,4,3,19,17.34,1
ER,uniform,30,42,4,3,20,31.03,4
ER,uniform,30,42,4,3,21,30.11,3
ER,uniform,30,42,4,3,22,35.69,4
ER,uniform,30,42,4,3,23,27.34,2
ER,uniform,30,42,4,3,24,33.53,2
ER,uniform,30,42,4,3,25,42.37,5
ER,uniform,30,42,4,3,26,31.69,5
ER,uniform,30,42,4,3,27,28.71,3
ER,uniform,30,42,4,3,28,42.1,1
ER,uniform,30,42,4,3,29,34.77,3
ER,uniform,30,42,4,4,0,35.92,4
ER,uniform,30,42,4,4,1,40.22,3
