topology,mixing_strategy,num_nodes,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
ER,uniform,30,42,4,0,4,0.3333333333333333,4.25,76.64,0.33133333333333326
ER,uniform,30,42,4,1,3,0.0,4.0,76.83,0.521333333333331
ER,uniform,30,42,4,2,4,0.3333333333333333,3.75,75.51,-0.7986666666666622
ER,uniform,30,42,4,3,3,0.0,3.0,77.33,1.021333333333331
ER,uniform,30,42,4,4,4,0.3333333333333333,4.5,76.69,0.3813333333333304
ER,uniform,30,42,4,5,4,0.0,3.0,77.13,0.8213333333333281
ER,uniform,30,42,4,6,3,0.0,4.0,77.41,1.1013333333333293
ER,uniform,30,42,4,7,1,0.0,4.0,76.5,0.1913333333333327
ER,uniform,30,42,4,8,7,0.09523809523809523,3.7142857142857144,77.46,1.1513333333333264
ER,uniform,30,42,4,9,4,0.3333333333333333,4.25,76.99,0.6813333333333276
ER,uniform,30,42,4,10,2,0.0,3.0,77.62,1.3113333333333372
ER,uniform,30,42,4,11,4,0.0,3.25,74.79,-1.518666666666661
ER,uniform,30,42,4,12,3,0.3333333333333333,3.3333333333333335,77.44,1.1313333333333304
ER,uniform,30,42,4,13,2,0.0,5.0,73.98,-2.3286666666666633
ER,uniform,30,42,4,14,3,0.0,2.6666666666666665,74.21,-2.0986666666666736
ER,uniform,30,42,4,15,4,0.16666666666666666,3.75,76.54,0.23133333333333894
ER,uniform,30,42,4,16,4,0.3333333333333333,4.25,76.56,0.25133333333333496
ER,uniform,30,42,4,17,3,0.3333333333333333,4.0,76.04,-0.26866666666666106
ER,uniform,30,42,4,18,7,0.23809523809523808,4.571428571428571,77.87,1.5613333333333372
ER,uniform,30,42,4,19,1,0.0,7.0,73.95,-2.3586666666666645
ER,uniform,30,42,4,20,4,0.0,3.25,77.41,1.1013333333333293
ER,uniform,30,42,4,21,3,0.3333333333333333,4.666666666666667,75.83,-0.478666666666669
ER,uniform,30,42,4,22,4,0.16666666666666666,3.5,76.63,0.32133333333332814
ER,uniform,30,42,4,23,2,0.0,3.5,76.24,-0.06866666666667243
ER,uniform,30,42,4,24,2,0.0,4.0,75.37,-0.9386666666666628
ER,uniform,30,42,4,25,5,0.2,5.2,76.69,0.3813333333333304
ER,uniform,30,42,4,26,5,0.3,5.2,75.86,-0.4486666666666679
ER,uniform,30,42,4,27,3,0.0,3.3333333333333335,75.03,-1.2786666666666662
ER,uniform,30,42,4,28,1,0.0,3.0,75.6,-0.708666666666673
ER,uniform,30,42,4,29,3,0.0,5.0,77.11,0.8013333333333321
WS,uniform,30,42,4,0,4,0.16666666666666666,4.75,77.25,0.7870000000000061
WS,uniform,30,42,4,1,3,0.3333333333333333,4.0,75.63,-0.8329999999999984
WS,uniform,30,42,4,2,4,0.3333333333333333,4.25,77.31,0.8470000000000084
WS,uniform,30,42,4,3,3,0.0,3.3333333333333335,77.63,1.1670000000000016
WS,uniform,30,42,4,4,4,0.16666666666666666,3.5,77.57,1.1069999999999993
WS,uniform,30,42,4,5,3,0.0,5.0,75.95,-0.512999999999991
WS,uniform,30,42,4,6,4,0.0,4.25,77.28,0.8170000000000073
WS,uniform,30,42,4,7,2,1.0,4.0,74.61,-1.8529999999999944
WS,uniform,30,42,4,8,4,0.3333333333333333,3.75,76.24,-0.22299999999999898
WS,uniform,30,42,4,9,4,0.5,4.5,76.85,0.38700000000000045
WS,uniform,30,42,4,10,5,0.3,4.6,77.26,0.7970000000000113
WS,uniform,30,42,4,11,7,0.09523809523809523,4.142857142857143,78.02,1.5570000000000022
WS,uniform,30,42,4,12,4,0.16666666666666666,5.25,76.61,0.14700000000000557
WS,uniform,30,42,4,13,4,0.0,5.25,77.64,1.1770000000000067
WS,uniform,30,42,4,14,4,0.0,4.0,77.95,1.487000000000009
WS,uniform,30,42,4,15,3,0.6666666666666666,4.666666666666667,73.47,-2.992999999999995
