topology,mixing_strategy,num_nodes,seed,k_target,round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,communication_mb,time_per_round
ER,uniform,30,42,4,1,23.471000000000004,6.1562988610582146,10.02,35.23,42.56199645996094,55.23207902908325
ER,uniform,30,42,4,2,29.496000000000002,6.856586906034226,11.82,40.42,85.12399291992188,55.46938443183899
ER,uniform,30,42,4,3,34.332,6.103508499215841,17.34,44.87,127.68598937988281,55.41497278213501
ER,uniform,30,42,4,4,38.998333333333335,5.925389485557515,21.26,50.73,170.24798583984375,55.052459478378296
ER,uniform,30,42,4,5,43.787,6.191500706613866,29.86,55.81,212.8099822998047,55.3306725025177
ER,uniform,30,42,4,6,48.36300000000001,5.795889434188107,36.81,59.39,255.37197875976562,55.27258563041687
ER,uniform,30,42,4,7,52.40833333333333,5.455527523123274,39.96,63.73,297.93397521972656,55.25847840309143
ER,uniform,30,42,4,8,55.89433333333333,5.304562616800329,43.2,65.93,340.4959716796875,55.13211178779602
ER,uniform,30,42,4,9,59.34433333333333,4.190109531848647,52.12,67.74,383.05796813964844,55.16312885284424
ER,uniform,30,42,4,10,61.74666666666667,3.6308844958525226,53.84,68.98,425.6199645996094,55.332728147506714
ER,uniform,30,42,4,11,63.91066666666667,3.0275633033110236,57.7,70.33,468.1819610595703,55.355411529541016
ER,uniform,30,42,4,12,65.37866666666667,2.5192442429338904,60.13,70.82,510.74395751953125,55.29402303695679
ER,uniform,30,42,4,13,66.88066666666667,2.268899782322309,62.37,71.6,553.3059539794922,55.50042390823364
ER,uniform,30,42,4,14,68.04499999999999,1.9115242608975704,64.38,72.87,595.8679504394531,55.440027713775635
ER,uniform,30,42,4,15,68.431,1.8344451477217836,64.81,72.59,638.4299468994141,55.377482175827026
ER,uniform,30,42,4,16,69.00333333333333,1.7373376822662385,65.31,73.37,680.991943359375,55.21284079551697
ER,uniform,30,42,4,17,69.99666666666667,1.54294595570364,66.48,73.96,723.5539398193359,55.087987184524536
ER,uniform,30,42,4,18,70.49,1.6306644862345752,67.15,74.25,766.1159362792969,55.55987071990967
ER,uniform,30,42,4,19,70.93066666666667,1.4995931300041199,67.59,74.52,808.6779327392578,55.498694896698
ER,uniform,30,42,4,20,71.41799999999999,1.3419870838921426,69.37,74.68,851.2399291992188,55.50885343551636
ER,uniform,30,42,4,21,71.75133333333332,1.4125455351559075,69.25,74.92,893.8019256591797,55.13413333892822
ER,uniform,30,42,4,22,72.18366666666667,1.2800090711484124,69.17,74.99,936.3639221191406,55.105854749679565
ER,uniform,30,42,4,23,72.40333333333335,1.2234223400862925,70.12,75.3,978.9259185791016,55.29601216316223
ER,uniform,30,42,4,24,72.78333333333333,1.334304646206738,70.23,75.54,1021.4879150390625,55.38287591934204
