topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,metropolis_hastings,50,42,4,1,0,27.0,4
ER,metropolis_hastings,50,42,4,1,1,10.56,9
ER,metropolis_hastings,50,42,4,1,2,24.05,4
ER,metropolis_hastings,50,42,4,1,3,27.61,5
ER,metropolis_hastings,50,42,4,1,4,12.02,1
ER,metropolis_hastings,50,42,4,1,5,18.29,3
ER,metropolis_hastings,50,42,4,1,6,26.46,4
ER,metropolis_hastings,50,42,4,1,7,21.34,5
ER,metropolis_hastings,50,42,4,1,8,13.8,4
ER,metropolis_hastings,50,42,4,1,9,21.19,1
ER,metropolis_hastings,50,42,4,1,10,27.29,3
ER,metropolis_hastings,50,42,4,1,11,23.33,6
ER,metropolis_hastings,50,42,4,1,12,10.02,2
ER,metropolis_hastings,50,42,4,1,13,23.44,5
ER,metropolis_hastings,50,42,4,1,14,23.56,7
ER,metropolis_hastings,50,42,4,1,15,14.4,3
ER,metropolis_hastings,50,42,4,1,16,10.79,5
ER,metropolis_hastings,50,42,4,1,17,21.24,4
ER,metropolis_hastings,50,42,4,1,18,20.37,4
ER,metropolis_hastings,50,42,4,1,19,21.85,1
ER,metropolis_hastings,50,42,4,1,20,25.72,4
ER,metropolis_hastings,50,42,4,1,21,23.65,3
ER,metropolis_hastings,50,42,4,1,22,24.34,8
ER,metropolis_hastings,50,42,4,1,23,19.73,4
ER,metropolis_hastings,50,42,4,1,24,26.88,5
ER,metropolis_hastings,50,42,4,1,25,20.94,5
ER,metropolis_hastings,50,42,4,1,26,23.84,5
ER,metropolis_hastings,50,42,4,1,27,15.73,4
ER,metropolis_hastings,50,42,4,1,28,19.37,4
ER,metropolis_hastings,50,42,4,1,29,20.78,7
ER,metropolis_hastings,50,42,4,1,30,19.47,5
ER,metropolis_hastings,50,42,4,1,31,24.12,3
ER,metropolis_hastings,50,42,4,1,32,11.06,4
ER,metropolis_hastings,50,42,4,1,33,16.08,3
ER,metropolis_hastings,50,42,4,1,34,23.19,2
ER,metropolis_hastings,50,42,4,1,35,11.13,6
ER,metropolis_hastings,50,42,4,1,36,19.48,3
ER,metropolis_hastings,50,42,4,1,37,15.19,4
ER,metropolis_hastings,50,42,4,1,38,18.22,5
ER,metropolis_hastings,50,42,4,1,39,15.22,4
ER,metropolis_hastings,50,42,4,1,40,28.78,3
ER,metropolis_hastings,50,42,4,1,41,10.0,3
ER,metropolis_hastings,50,42,4,1,42,17.21,3
ER,metropolis_hastings,50,42,4,1,43,15.47,2
ER,metropolis_hastings,50,42,4,1,44,21.94,6
ER,metropolis_hastings,50,42,4,1,45,26.36,5
ER,metropolis_hastings,50,42,4,1,46,21.16,2
ER,metropolis_hastings,50,42,4,1,47,18.27,5
ER,metropolis_hastings,50,42,4,1,48,17.11,4
ER,metropolis_hastings,50,42,4,1,49,28.33,3
ER,metropolis_hastings,50,42,4,2,0,30.79,4
ER,metropolis_hastings,50,42,4,2,1,25.19,9
ER,metropolis_hastings,50,42,4,2,2,35.8,4
ER,metropolis_hastings,50,42,4,2,3,29.38,5
ER,metropolis_hastings,50,42,4,2,4,10.19,1
ER,metropolis_hastings,50,42,4,2,5,24.96,3
ER,metropolis_hastings,50,42,4,2,6,32.2,4
ER,metropolis_hastings,50,42,4,2,7,27.25,5
ER,metropolis_hastings,50,42,4,2,8,16.46,4
ER,metropolis_hastings,50,42,4,2,9,16.93,1
ER,metropolis_hastings,50,42,4,2,10,29.73,3
ER,metropolis_hastings,50,42,4,2,11,29.55,6
ER,metropolis_hastings,50,42,4,2,12,10.03,2
ER,metropolis_hastings,50,42,4,2,13,30.23,5
ER,metropolis_hastings,50,42,4,2,14,27.82,7
ER,metropolis_hastings,50,42,4,2,15,21.51,3
ER,metropolis_hastings,50,42,4,2,16,18.17,5
ER,metropolis_hastings,50,42,4,2,17,26.85,4
ER,metropolis_hastings,50,42,4,2,18,28.23,4
ER,metropolis_hastings,50,42,4,2,19,19.71,1
ER,metropolis_hastings,50,42,4,2,20,33.59,4
ER,metropolis_hastings,50,42,4,2,21,21.92,3
ER,metropolis_hastings,50,42,4,2,22,31.68,8
ER,metropolis_hastings,50,42,4,2,23,20.3,4
ER,metropolis_hastings,50,42,4,2,24,27.43,5
ER,metropolis_hastings,50,42,4,2,25,41.09,5
ER,metropolis_hastings,50,42,4,2,26,24.53,5
ER,metropolis_hastings,50,42,4,2,27,21.19,4
ER,metropolis_hastings,50,42,4,2,28,21.62,4
ER,metropolis_hastings,50,42,4,2,29,25.8,7
