topology,mixing_strategy,num_nodes,seed,k_target,round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,communication_mb,time_per_round
ER,metropolis_hastings,50,42,4,1,19.9476,5.294448624738935,10.0,28.78,85.12399291992188,80.63906002044678
ER,metropolis_hastings,50,42,4,2,24.830400000000004,6.423141897856531,10.03,41.09,170.24798583984375,80.94257307052612
ER,metropolis_hastings,50,42,4,3,28.651999999999997,6.738712339905897,10.16,45.69,255.37197875976562,81.02755284309387
ER,metropolis_hastings,50,42,4,4,32.400800000000004,7.303673278563329,10.46,45.68,340.4959716796875,80.37516665458679
ER,metropolis_hastings,50,42,4,5,36.682199999999995,7.922073034250569,12.22,54.61,425.6199645996094,80.49388194084167
ER,metropolis_hastings,50,42,4,6,41.0234,8.202831854914496,14.54,57.59,510.74395751953125,80.28628349304199
ER,metropolis_hastings,50,42,4,7,44.666199999999996,8.008052919405564,21.12,58.6,595.8679504394531,80.96307134628296
ER,metropolis_hastings,50,42,4,8,47.904799999999994,7.560045301451573,23.12,61.07,680.991943359375,80.40467500686646
ER,metropolis_hastings,50,42,4,9,50.8508,7.764611732726885,24.63,62.54,766.1159362792969,80.31203436851501
ER,metropolis_hastings,50,42,4,10,53.723,7.245241817910565,31.02,64.29,851.2399291992188,80.42275261878967
ER,metropolis_hastings,50,42,4,11,55.65219999999999,6.992397668897271,36.68,66.08,936.3639221191406,80.63444638252258
ER,metropolis_hastings,50,42,4,12,57.94820000000001,6.821887624404261,39.79,68.64,1021.4879150390625,80.5835120677948
ER,metropolis_hastings,50,42,4,13,59.628600000000006,6.64468208720327,42.58,68.75,1106.6119079589844,80.84159255027771
ER,metropolis_hastings,50,42,4,14,61.1526,6.177749366881113,47.6,70.32,1191.7359008789062,80.83874440193176
ER,metropolis_hastings,50,42,4,15,62.626999999999995,5.830048113009016,50.02,70.97,1276.8598937988281,80.51368498802185
ER,metropolis_hastings,50,42,4,16,63.57680000000001,5.812855215812622,48.4,71.68,1361.98388671875,80.36362099647522
ER,metropolis_hastings,50,42,4,17,64.90619999999998,5.295929716301001,52.15,71.8,1447.1078796386719,80.40287518501282
ER,metropolis_hastings,50,42,4,18,65.5078,5.112547032546498,52.78,72.22,1532.2318725585938,80.34418940544128
ER,metropolis_hastings,50,42,4,19,66.431,5.083798678153967,52.23,72.4,1617.3558654785156,80.408038854599
ER,metropolis_hastings,50,42,4,20,67.01499999999999,4.683222074597786,53.52,72.91,1702.4798583984375,80.93001747131348
ER,metropolis_hastings,50,42,4,21,67.596,4.589932897112984,54.08,72.88,1787.6038513183594,81.0473906993866
ER,metropolis_hastings,50,42,4,22,68.29500000000002,4.341589225157073,54.11,73.4,1872.7278442382812,80.53523230552673
ER,metropolis_hastings,50,42,4,23,68.63839999999999,4.363011510413421,53.81,73.13,1957.8518371582031,80.4260835647583
ER,metropolis_hastings,50,42,4,24,69.1588,4.109323370093914,55.4,73.5,2042.975830078125,80.7013201713562
ER,metropolis_hastings,50,42,4,25,69.664,3.8650428199439135,56.0,73.83,2128.099822998047,80.92998719215393
ER,metropolis_hastings,50,42,4,26,69.9452,3.865633319392826,56.5,74.02,2213.2238159179688,81.03482460975647
ER,metropolis_hastings,50,42,4,27,70.26180000000001,3.592167418147433,57.21,74.03,2298.3478088378906,80.6006588935852
ER,metropolis_hastings,50,42,4,28,70.664,3.5798396612138927,58.49,74.07,2383.4718017578125,80.87811422348022
ER,metropolis_hastings,50,42,4,29,70.86619999999999,3.6854518800277396,57.25,74.58,2468.5957946777344,81.03219270706177
ER,metropolis_hastings,50,42,4,30,71.1912,3.3879808972306797,59.66,74.79,2553.7197875976562,80.48156571388245
ER,metropolis_hastings,50,42,4,31,71.2816,3.3636399093838802,58.84,74.85,2638.843780517578,80.32076978683472
ER,metropolis_hastings,50,42,4,32,71.507,3.181340755090532,61.29,74.79,2723.9677734375,80.45353484153748
ER,metropolis_hastings,50,42,4,33,71.6682,3.2002760443436746,61.96,75.15,2809.091766357422,80.48609399795532
ER,metropolis_hastings,50,42,4,34,71.98780000000001,3.2780904746513637,61.11,75.18,2894.2157592773438,80.45443320274353
ER,metropolis_hastings,50,42,4,35,72.2492,3.1721682427008813,62.37,75.5,2979.3397521972656,80.48601078987122
ER,metropolis_hastings,50,42,4,36,72.42620000000001,3.1201858213894895,62.68,75.48,3064.4637451171875,80.48321747779846
ER,metropolis_hastings,50,42,4,37,72.5714,2.8665631058813266,62.95,75.6,3149.5877380371094,80.88985300064087
ER,metropolis_hastings,50,42,4,38,72.90939999999999,2.956795163686521,62.69,75.91,3234.7117309570312,81.04406809806824
ER,metropolis_hastings,50,42,4,39,72.7978,3.1744979382573235,63.36,75.83,3319.835723876953,80.51512956619263
ER,metropolis_hastings,50,42,4,40,73.1072,2.9424187601359524,63.47,76.04,3404.959716796875,80.37005066871643
