topology,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
ER,0,2,0,1,0.0,3.0,66.54,-4.769999999999982
ER,0,2,1,0,0.0,0.0,65.49,-5.819999999999993
ER,0,2,2,0,0.0,0.0,61.47,-9.83999999999999
ER,0,2,3,2,0.0,2.0,73.01,1.700000000000017
ER,0,2,4,3,0.0,1.3333333333333333,76.16,4.8500000000000085
ER,0,2,5,0,0.0,0.0,66.86,-4.449999999999989
ER,0,2,6,2,0.0,2.5,76.77,5.460000000000008
ER,0,2,7,1,0.0,1.0,75.06,3.750000000000014
ER,0,2,8,2,0.0,1.5,74.3,2.990000000000009
ER,0,2,9,1,0.0,2.0,73.36,2.0500000000000114
ER,0,2,10,1,0.0,1.0,75.06,3.750000000000014
ER,0,2,11,1,0.0,3.0,71.64,0.3300000000000125
ER,1,2,0,2,0.0,3.5,70.26,-0.27166666666666117
ER,1,2,1,1,0.0,5.0,67.03,-3.501666666666665
ER,1,2,2,2,1.0,5.5,67.58,-2.951666666666668
ER,1,2,3,2,0.0,3.5,73.06,2.528333333333336
ER,1,2,4,2,0.0,2.0,70.89,0.3583333333333343
ER,1,2,5,2,1.0,5.0,66.96,-3.5716666666666725
ER,1,2,6,6,0.4,3.5,73.21,2.6783333333333275
ER,1,2,7,2,0.0,2.0,69.51,-1.0216666666666612
ER,1,2,8,3,0.6666666666666666,5.0,66.69,-3.8416666666666686
ER,1,2,9,5,0.3,3.8,74.79,4.25833333333334
ER,1,2,10,5,0.2,3.4,74.16,3.6283333333333303
ER,1,2,11,4,0.5,4.0,72.24,1.7083333333333286
ER,2,2,0,2,0.0,2.5,70.21,-0.18000000000000682
ER,2,2,1,2,0.0,2.5,69.53,-0.8599999999999994
ER,2,2,2,3,0.0,2.6666666666666665,73.68,3.2900000000000063
ER,2,2,3,2,1.0,4.0,71.41,1.019999999999996
ER,2,2,4,2,0.0,3.0,71.48,1.0900000000000034
ER,2,2,5,3,0.0,2.0,72.59,2.200000000000003
ER,2,2,6,1,0.0,2.0,61.61,-8.780000000000001
ER,2,2,7,1,0.0,3.0,69.0,-1.3900000000000006
ER,2,2,8,1,0.0,4.0,61.65,-8.740000000000002
ER,2,2,9,4,0.16666666666666666,2.5,75.02,4.6299999999999955
ER,2,2,10,1,0.0,3.0,74.21,3.819999999999993
ER,2,2,11,4,0.16666666666666666,2.5,74.29,3.9000000000000057
WS,0,2,0,1,0.0,2.0,65.64,-5.217500000000001
WS,0,2,1,2,0.0,2.0,70.28,-0.5775000000000006
WS,0,2,2,1,0.0,2.0,67.08,-3.7775000000000034
WS,0,2,3,2,0.0,2.0,74.04,3.1825000000000045
WS,0,2,4,2,0.0,2.5,73.65,2.792500000000004
WS,0,2,5,2,0.0,2.5,68.49,-2.367500000000007
WS,0,2,6,3,0.0,2.0,73.01,2.1525000000000034
WS,0,2,7,2,0.0,3.0,63.29,-7.567500000000003
WS,0,2,8,3,0.0,2.0,72.31,1.4525000000000006
WS,0,2,9,2,0.0,3.0,72.74,1.8824999999999932
WS,0,2,10,1,0.0,3.0,74.61,3.7524999999999977
WS,0,2,11,3,0.0,1.6666666666666667,75.15,4.292500000000004
WS,1,2,0,2,0.0,2.5,73.17,3.0933333333333337
WS,1,2,1,2,0.0,2.0,68.72,-1.3566666666666691
WS,1,2,2,2,0.0,2.0,71.3,1.2233333333333292
WS,1,2,3,2,0.0,2.5,72.72,2.643333333333331
WS,1,2,4,1,0.0,2.0,70.3,0.22333333333332916
WS,1,2,5,2,0.0,1.5,69.31,-0.7666666666666657
WS,1,2,6,2,0.0,2.0,65.2,-4.876666666666665
WS,1,2,7,2,0.0,2.0,62.55,-7.526666666666671
